iteration,epoch,minibatch,8,16,32,64,128
845981,39,14959,0.222,0.192,0.186,0.184,0.184
848167,39,17145,0.222,0.192,0.187,0.184,0.184
850353,39,19331,0.222,0.192,0.186,0.184,0.184
852539,39,21517,0.219,0.192,0.187,0.184,0.184
854725,40,1834,0.219,0.192,0.187,0.184,0.184
856911,40,4020,0.219,0.192,0.186,0.184,0.184
859097,40,6206,0.219,0.192,0.186,0.184,0.184
861283,40,8392,0.219,0.192,0.186,0.184,0.184
863469,40,10578,0.219,0.192,0.187,0.184,0.184
865655,40,12764,0.219,0.192,0.186,0.184,0.184
867841,40,14950,0.219,0.192,0.186,0.184,0.184
870027,40,17136,0.219,0.192,0.187,0.184,0.184
872213,40,19322,0.219,0.192,0.186,0.184,0.184
874399,40,21508,0.219,0.192,0.186,0.184,0.184
876585,41,1825,0.219,0.192,0.186,0.184,0.184
878771,41,4011,0.219,0.192,0.186,0.184,0.184
880957,41,6197,0.219,0.192,0.186,0.184,0.184
883143,41,8383,0.219,0.192,0.186,0.184,0.184
885329,41,10569,0.219,0.192,0.187,0.184,0.184
887515,41,12755,0.219,0.192,0.186,0.184,0.184
889701,41,14941,0.219,0.192,0.186,0.184,0.184
891887,41,17127,0.219,0.192,0.187,0.184,0.184
894073,41,19313,0.219,0.192,0.186,0.184,0.183
896259,41,21499,0.219,0.192,0.186,0.184,0.184
898445,42,1816,0.219,0.192,0.187,0.184,0.184
900631,42,4002,0.219,0.192,0.186,0.184,0.184
902817,42,6188,0.219,0.192,0.187,0.184,0.184
905003,42,8374,0.22,0.192,0.186,0.184,0.184
907189,42,10560,0.22,0.192,0.186,0.184,0.184
909375,42,12746,0.219,0.192,0.186,0.184,0.183
911561,42,14932,0.219,0.192,0.186,0.184,0.183
913747,42,17118,0.219,0.192,0.187,0.184,0.184
915933,42,19304,0.219,0.192,0.186,0.184,0.183
918119,42,21490,0.22,0.192,0.186,0.184,0.183
920305,43,1807,0.22,0.192,0.186,0.184,0.184
922491,43,3993,0.219,0.192,0.186,0.184,0.183
924677,43,6179,0.22,0.192,0.186,0.184,0.183
926863,43,8365,0.219,0.192,0.186,0.183,0.183
929049,43,10551,0.22,0.192,0.186,0.183,0.184
931235,43,12737,0.22,0.192,0.186,0.184,0.184
933421,43,14923,0.219,0.192,0.186,0.184,0.184
935607,43,17109,0.22,0.192,0.186,0.184,0.183
937793,43,19295,0.219,0.192,0.186,0.183,0.183
939979,43,21481,0.219,0.192,0.186,0.183,0.183
942165,44,1798,0.22,0.192,0.186,0.184,0.184
944351,44,3984,0.219,0.192,0.186,0.183,0.184
946537,44,6170,0.22,0.192,0.186,0.184,0.184
948723,44,8356,0.22,0.192,0.186,0.184,0.183
950909,44,10542,0.22,0.192,0.186,0.183,0.183
953095,44,12728,0.22,0.192,0.186,0.183,0.183
955281,44,14914,0.22,0.192,0.186,0.184,0.183
957467,44,17100,0.22,0.191,0.186,0.184,0.184
959653,44,19286,0.22,0.191,0.186,0.184,0.184
961839,44,21472,0.219,0.192,0.186,0.183,0.184
964025,45,1789,0.22,0.191,0.186,0.184,0.184
966211,45,3975,0.22,0.191,0.186,0.183,0.184
968397,45,6161,0.22,0.191,0.186,0.184,0.183
970583,45,8347,0.22,0.192,0.186,0.183,0.183
972769,45,10533,0.22,0.191,0.186,0.183,0.183
974955,45,12719,0.219,0.192,0.186,0.183,0.183
977141,45,14905,0.22,0.192,0.186,0.183,0.183
979327,45,17091,0.22,0.192,0.186,0.183,0.183
981513,45,19277,0.22,0.191,0.186,0.184,0.183
983699,45,21463,0.22,0.191,0.186,0.183,0.183
985885,46,1780,0.22,0.191,0.186,0.184,0.184
988071,46,3966,0.22,0.191,0.186,0.183,0.183
990257,46,6152,0.22,0.191,0.186,0.184,0.183
992443,46,8338,0.22,0.191,0.186,0.183,0.183
994629,46,10524,0.22,0.191,0.186,0.183,0.183
996815,46,12710,0.22,0.191,0.186,0.183,0.183
999001,46,14896,0.219,0.191,0.186,0.183,0.183
1001187,46,17082,0.22,0.191,0.186,0.184,0.184
1003373,46,19268,0.22,0.191,0.186,0.183,0.183
1005559,46,21454,0.22,0.191,0.186,0.184,0.183
1007745,47,1771,0.22,0.191,0.186,0.184,0.184
1009931,47,3957,0.22,0.191,0.186,0.183,0.183
1012117,47,6143,0.22,0.191,0.186,0.183,0.183
1014303,47,8329,0.219,0.191,0.186,0.183,0.183
1016489,47,10515,0.219,0.191,0.186,0.184,0.183
1018675,47,12701,0.22,0.191,0.186,0.184,0.183
1020861,47,14887,0.219,0.191,0.186,0.184,0.183
1023047,47,17073,0.22,0.191,0.186,0.184,0.183
1025233,47,19259,0.22,0.191,0.186,0.183,0.183
1027419,47,21445,0.22,0.191,0.186,0.183,0.183
1029605,48,1762,0.219,0.191,0.186,0.183,0.183
1031791,48,3948,0.219,0.191,0.186,0.183,0.183
1033977,48,6134,0.219,0.191,0.186,0.183,0.183
1036163,48,8320,0.219,0.191,0.186,0.183,0.183
1038349,48,10506,0.219,0.191,0.186,0.184,0.183
1040535,48,12692,0.219,0.191,0.186,0.184,0.183
1042721,48,14878,0.219,0.191,0.186,0.183,0.184
1044907,48,17064,0.22,0.191,0.186,0.184,0.183
1047093,48,19250,0.22,0.191,0.186,0.183,0.183
1049279,48,21436,0.219,0.191,0.186,0.183,0.183
1051465,49,1753,0.22,0.191,0.186,0.184,0.183
1053651,49,3939,0.219,0.191,0.186,0.183,0.183
1055837,49,6125,0.22,0.191,0.186,0.183,0.183
1058023,49,8311,0.219,0.191,0.186,0.183,0.183
1060209,49,10497,0.22,0.191,0.186,0.183,0.183
1062395,49,12683,0.22,0.191,0.186,0.183,0.183
1064581,49,14869,0.219,0.191,0.186,0.183,0.184
1066767,49,17055,0.22,0.191,0.186,0.184,0.183
1068953,49,19241,0.219,0.191,0.186,0.183,0.184
1071139,49,21427,0.22,0.191,0.186,0.183,0.183
1073325,50,1744,0.22,0.191,0.186,0.183,0.183
1075511,50,3930,0.219,0.191,0.186,0.184,0.183
1077697,50,6116,0.219,0.191,0.186,0.184,0.183
1079883,50,8302,0.219,0.191,0.186,0.183,0.183
