iteration,epoch,minibatch,cost,mode_prime,trip_purp,trip_km
918119,42.0,21490.0,15.14015,0.192,0.499,9.312
920305,43.0,1807.0,15.14254,0.192,0.5,9.311
922491,43.0,3993.0,15.14982,0.192,0.5,9.31
924677,43.0,6179.0,15.13545,0.192,0.499,9.31
926863,43.0,8365.0,15.14285,0.192,0.5,9.309
929049,43.0,10551.0,15.13661,0.192,0.498,9.309
931235,43.0,12737.0,15.13547,0.192,0.5,9.309
933421,43.0,14923.0,15.1307,0.192,0.499,9.309
935607,43.0,17109.0,15.13314,0.191,0.5,9.308
937793,43.0,19295.0,15.12946,0.192,0.498,9.308
939979,43.0,21481.0,15.12829,0.191,0.498,9.307
942165,44.0,1798.0,15.11998,0.192,0.498,9.306
944351,44.0,3984.0,15.11295,0.192,0.496,9.306
946537,44.0,6170.0,15.10463,0.192,0.498,9.305
948723,44.0,8356.0,15.10704,0.192,0.498,9.305
950909,44.0,10542.0,15.10775,0.192,0.499,9.305
953095,44.0,12728.0,15.10452,0.192,0.498,9.305
955281,44.0,14914.0,15.10691,0.192,0.499,9.305
957467,44.0,17100.0,15.10707,0.191,0.499,9.304
959653,44.0,19286.0,15.10329,0.191,0.501,9.303
961839,44.0,21472.0,15.10507,0.191,0.499,9.303
964025,45.0,1789.0,15.09424,0.191,0.499,9.302
966211,45.0,3975.0,15.09961,0.191,0.498,9.301
968397,45.0,6161.0,15.09366,0.191,0.499,9.301
970583,45.0,8347.0,15.10049,0.192,0.5,9.301
972769,45.0,10533.0,15.09832,0.191,0.499,9.3
974955,45.0,12719.0,15.09654,0.191,0.498,9.3
977141,45.0,14905.0,15.09879,0.191,0.498,9.3
979327,45.0,17091.0,15.0998,0.191,0.498,9.3
981513,45.0,19277.0,15.09574,0.191,0.498,9.299
983699,45.0,21463.0,15.09713,0.191,0.498,9.299
985885,46.0,1780.0,15.10973,0.191,0.499,9.297
988071,46.0,3966.0,15.09667,0.191,0.499,9.297
990257,46.0,6152.0,15.09118,0.192,0.499,9.297
992443,46.0,8338.0,15.09479,0.191,0.498,9.296
994629,46.0,10524.0,15.08845,0.191,0.499,9.296
996815,46.0,12710.0,15.08977,0.191,0.498,9.296
999001,46.0,14896.0,15.08764,0.192,0.499,9.296
1001187,46.0,17082.0,15.0888,0.191,0.499,9.295
1003373,46.0,19268.0,15.08571,0.191,0.5,9.295
1005559,46.0,21454.0,15.08595,0.192,0.501,9.294
1007745,47.0,1771.0,15.06219,0.192,0.5,9.294
1009931,47.0,3957.0,15.07258,0.191,0.498,9.293
1012117,47.0,6143.0,15.07194,0.191,0.497,9.292
1014303,47.0,8329.0,15.07059,0.192,0.498,9.292
1016489,47.0,10515.0,15.07263,0.191,0.5,9.292
1018675,47.0,12701.0,15.06983,0.191,0.498,9.292
1020861,47.0,14887.0,15.06883,0.191,0.5,9.292
1023047,47.0,17073.0,15.07178,0.191,0.498,9.291
1025233,47.0,19259.0,15.06663,0.191,0.501,9.29
1027419,47.0,21445.0,15.06868,0.191,0.499,9.29
1029605,48.0,1762.0,15.07369,0.191,0.497,9.289
1031791,48.0,3948.0,15.0635,0.191,0.498,9.288
1033977,48.0,6134.0,15.05439,0.191,0.497,9.288
1036163,48.0,8320.0,15.05506,0.192,0.499,9.288
1038349,48.0,10506.0,15.05611,0.191,0.501,9.288
1040535,48.0,12692.0,15.05551,0.191,0.499,9.288
