iteration,epoch,minibatch,cost,mode_prime,trip_purp,trip_km
957467,44.0,17100.0,12.09977,0.184,0.445,9.238
959653,44.0,19286.0,12.0955,0.184,0.446,9.261
961839,44.0,21472.0,12.09694,0.183,0.446,9.255
964025,45.0,1789.0,12.07684,0.184,0.445,9.247
966211,45.0,3975.0,12.09432,0.183,0.445,9.238
968397,45.0,6161.0,12.08932,0.184,0.445,9.27
970583,45.0,8347.0,12.09468,0.183,0.445,9.249
972769,45.0,10533.0,12.09056,0.183,0.445,9.22
974955,45.0,12719.0,12.08591,0.183,0.445,9.253
977141,45.0,14905.0,12.08807,0.183,0.446,9.246
979327,45.0,17091.0,12.08935,0.183,0.445,9.236
981513,45.0,19277.0,12.08599,0.184,0.445,9.244
983699,45.0,21463.0,12.0865,0.183,0.445,9.227
985885,46.0,1780.0,12.0773,0.184,0.445,9.249
988071,46.0,3966.0,12.07194,0.183,0.445,9.209
990257,46.0,6152.0,12.05892,0.184,0.444,9.243
992443,46.0,8338.0,12.06581,0.183,0.445,9.214
994629,46.0,10524.0,12.06129,0.183,0.446,9.226
996815,46.0,12710.0,12.0571,0.183,0.445,9.225
999001,46.0,14896.0,12.05402,0.183,0.445,9.237
1001187,46.0,17082.0,12.05993,0.184,0.445,9.212
1003373,46.0,19268.0,12.06001,0.183,0.445,9.25
1005559,46.0,21454.0,12.05932,0.184,0.444,9.231
1007745,47.0,1771.0,12.06219,0.184,0.444,9.26
1009931,47.0,3957.0,12.07415,0.183,0.444,9.208
1012117,47.0,6143.0,12.06956,0.183,0.444,9.223
1014303,47.0,8329.0,12.0667,0.183,0.445,9.212
1016489,47.0,10515.0,12.061,0.184,0.445,9.221
1018675,47.0,12701.0,12.05429,0.184,0.444,9.209
1020861,47.0,14887.0,12.05095,0.184,0.446,9.204
1023047,47.0,17073.0,12.05335,0.184,0.443,9.223
1025233,47.0,19259.0,12.04906,0.183,0.444,9.235
1027419,47.0,21445.0,12.04925,0.183,0.443,9.213
1029605,48.0,1762.0,12.01803,0.183,0.444,9.224
1031791,48.0,3948.0,12.03118,0.183,0.444,9.194
1033977,48.0,6134.0,12.02093,0.183,0.444,9.211
1036163,48.0,8320.0,12.02358,0.183,0.443,9.205
1038349,48.0,10506.0,12.0191,0.184,0.443,9.201
1040535,48.0,12692.0,12.01328,0.184,0.444,9.203
